assessid,fao_area
NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE,21
NEFSC-BUTTERGOMCHATT-1965-2012-HIVELY,21
NEFSC-CODGB-1976-2011-CHING,21
NEFSC-CODGOM-1981-2011-CHING,21
NEFSC-CSKATMATLC-1975-2005-SOSEBEE,21
NEFSC-HAD5Y-1964-2011-CHING,21
NEFSC-HERRNWATLC-1964-2011-HIVELY,21
NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON,21
NEFSC-LSKAT5YCHATT-1968-2006-SOSEBEE,21
NEFSC-MONKGOMNGB-1980-2009-HIVELY,21
NEFSC-MONKSGBMATL-1980-2009-HIVELY,21
NEFSC-OPOUTNWATLC-1962-2008-WIGLEY,21
NEFSC-POLL5YZ-1960-2009-CHING,21
NEFSC-QUAHATLC-1978-2008-CHUTE,21
NEFSC-RDEEPCRABNWATL-1982-2008-CHUTE,21
NEFSC-RSKATMATLC-1967-2005-SOSEBEE,21
NEFSC-SCALL5ZMAB-1964-2013-HIVELY,21
NEFSC-SCUPNWATLC-1960-2007-TERCEIRO,21
NEFSC-SDOGATLC-1962-2006-SOSEBEE,21
NEFSC-SFLOUNMATLC-1940-2012-HIVELY,21
NEFSC-SHAKEGOMNGB-1955-2009-CHING,21
NEFSC-SHAKESGBMATL-1955-2009-CHING,21
NEFSC-SSKAT5YZSNE-1963-2005-SOSEBEE,21
NEFSC-STRIPEDBASSGOMCHATT-1981-2012-HIVELY,21
NEFSC-SURFMATLC-1965-2008-JACOBSON,21
NEFSC-TILEMATLC-1915-2012-HIVELY,21
NEFSC-TSKAT5YZSNE-1963-2005-SOSEBEE,21
NEFSC-WEAKFISHATLC-1981-2008-STANTON,21
NEFSC-WHAKEGBGOM-1962-2011-HIVELY,21
NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,21
NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON,21
NEFSC-WINFLOUN5Z-1964-2011-HIVELY,21
NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE,21
NEFSC-WINFLOUNSNEMATL-1980-2010-HIVELY,21
NEFSC-WITFLOUN5Y-1982-2008-WIGLEY,21
NEFSC-WSKAT5YCHATT-1967-2005-SOSEBEE,21
NEFSC-YELLCCODGOM-1935-2008-LEGAULT,21
NEFSC-YELLSNEMATL-1935-2011-HIVELY,21
NIWA-AUSSALMONNZ-1929-2013-FU,81
NIWA-BKCDLFENI-1923-2009-CORDUE,81
NIWA-BLACKOREOPR-1974-2009-CORDUE,81
NIWA-DOYSFS-1906-2012-FU,81
NIWA-GSTRGZRSTA7-1964-2007-CORDUE,81
NIWA-HOKIENZ-1970-2015-FU,81
NIWA-HOKIWNZ-1970-2015-FU,NA
NIWA-NZLINGLIN3-4-1968-2014-FU,81
NIWA-NZLINGLIN5-6-1968-2014-FU,81
NIWA-NZSNAPNZ1BOP-HAGU-1899-2013-FU,81
NIWA-NZSNAPNZ1ENLD-1899-2013-FU,81
NIWA-OROUGHYESCR-1910-2014-FU,81
NIWA-OROUGHYNWCR-1910-2014-FU,81
NIWA-OROUGHYNZ7A-1910-2014-FU,81
NIWA-OROUGHYNZMEC-1882-2014-FU,81
NIWA-PAUANPAU5A-1965-2014-FU,81
NIWA-PAUAPAU7-1965-2015-FU,81
NIWA-PAUASPAU5A-1965-2014-FU,NA
NIWA-SCMPBP-1985-2012-FU,81
